Place,Scientific Name,Common Name,Observations
India,Pycnonotus cafer,Red-vented Bulbul,2031
India,Merops orientalis,Asian Green Bee-eater,1529
India,Halcyon smyrnensis,White-throated Kingfisher,1523
India,Ardeola grayii,Indian Pond-Heron,1427
India,Acridotheres tristis,Common Myna,1331
India,Milvus migrans,Black Kite,1323
India,Copsychus saularis,Oriental Magpie-Robin,1288
India,Spilopelia senegalensis,Laughing Dove,1259
India,Cinnyris asiaticus,Purple Sunbird,1225
India,Vanellus indicus,Red-wattled Lapwing,1198
India,Psittacula krameri,Rose-ringed Parakeet,1165
India,Passer domesticus,House Sparrow,1162
India,Ardea coromanda,Eastern Cattle-Egret,1157
India,Dicrurus macrocercus,Black Drongo,1152
India,Prinia socialis,Ashy Prinia,1123
India,Columba livia,Rock Pigeon,1093
India,Psilopogon haemacephalus,Coppersmith Barbet,1050
India,Copsychus fulicatus,Indian Robin,1038
India,Microcarbo niger,Little Cormorant,1021
India,Eudynamys scolopaceus,Asian Koel,1002
India,Corvus splendens,House Crow,932
India,Lanius schach,Long-tailed Shrike,906
India,Lonchura punctulata,Scaly-breasted Munia,906
India,Egretta garzetta,Little Egret,897
India,Ploceus philippinus,Baya Weaver,894
India,Leptocoma zeylonica,Purple-rumped Sunbird,851
India,Himantopus himantopus,Black-winged Stilt,846
India,Tachyspiza badia,Shikra,827
India,Anas poecilorhyncha,Indian Spot-billed Duck,822
India,Ardea cinerea,Grey Heron,818
India,Mycteria leucocephala,Painted Stork,809
India,Pycnonotus jocosus,Red-whiskered Bulbul,761
India,Sturnia pagodarum,Brahminy Starling,747
India,Tringa glareola,Wood Sandpiper,688
India,Centropus sinensis,Greater Coucal,650
India,Ocyceros birostris,Indian Grey Hornbill,613
India,Euodice malabarica,Indian Silverbill,613
India,Alcedo atthis,Common Kingfisher,607
India,Pavo cristatus,Indian Peafowl,603
India,Terpsiphone paradisi,Indian Paradise-Flycatcher,594
India,Saxicola caprata,Pied Bushchat,588
India,Argya striata,Jungle Babbler,581
India,Saxicola maurus,Siberian Stonechat,575
India,Oriolus kundoo,Indian Golden Oriole,560
India,Athene brama,Spotted Owlet,554
India,Orthotomus sutorius,Common Tailorbird,552
India,Amaurornis phoenicurus,White-breasted Waterhen,536
India,Plegadis falcinellus,Glossy Ibis,533
India,Cyornis tickelliae,Tickell's Blue Flycatcher,528
India,Actitis hypoleucos,Common Sandpiper,517
India,Rhipidura albogularis,Spot-breasted Fantail,511
India,Ardea alba,Great Egret,504
India,Porphyrio poliocephalus,Gray-headed Swamphen,504
India,Spilopelia chinensis,Spotted Dove,496
India,Corvus macrorhynchos,Large-billed Crow,495
India,Anastomus oscitans,Asian Openbill,476
India,Threskiornis melanocephalus,Black-headed Ibis,473
India,Elanus caeruleus,Black-winged Kite,465
India,Pseudibis papillosa,Red-naped Ibis,456
India,Coracias benghalensis,Indian Roller,456
India,Anthus rufulus,Paddyfield Pipit,454
India,Pericrocotus cinnamomeus,Small Minivet,445
India,Fulica atra,Eurasian Coot,443
India,Sterna aurantia,River Tern,440
India,Aegithina tiphia,Common Iora,435
India,Zosterops palpebrosus,Indian White-eye,410
India,Gracupica contra,Indian Pied Starling,408
India,Phoenicopterus roseus,Greater Flamingo,406
India,Ardea purpurea,Purple Heron,394
India,Haliastur indus,Brahminy Kite,393
India,Pernis ptilorhynchus,Oriental Honey-buzzard,386
India,Tachybaptus ruficollis,Little Grebe,381
India,Prinia inornata,Plain Prinia,377
India,Psittacula eupatria,Alexandrine Parakeet,371
India,Motacilla flava,Western Yellow Wagtail,371
India,Hirundo smithii,Wire-tailed Swallow,368
India,Phalacrocorax fuscicollis,Indian Cormorant,365
India,Gymnoris xanthocollis,Yellow-throated Sparrow,362
India,Nycticorax nycticorax,Black-crowned Night Heron,355
India,Chroicocephalus brunnicephalus,Brown-headed Gull,353
India,Gallinula chloropus,Common Moorhen,347
India,Phoeniconaias minor,Lesser Flamingo,345
